,name_numbers,author,holding,lawyers_judge
Fine Furniture (Shanghai) Ltd v US,"['Fine Furniture (Shanghai) Ltd. v. U.S., 748 F.3d 1365 (2014)']","[' Plager, Circuit']","['s: The Court of Appeals, Plager, Circuit Judge, held that:\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cFine Furniture (Shanghai) Ltd. v. U.S., 748 F.3d 1365 (2014)\n36 ITRD 1\n\n[1] Commerce is authorized to apply adverse inferences when an interested party, including a foreign government, fails\nto provide requested information, and\n\n[2] failure of the government of China to provide Commerce with requested information regarding electricity rates in\nvarious provinces in which mandatory respondents were located permitted Commerce to apply an adverse inference to\ndetermine that a Chinese producer received a countervailable subsidy of its electricity costs.\n\nAffirmed.\n\n']","['\n\n*1367  Kristin H. Mowry, Mowry & Grimson, PLLC, of Washington, DC, argued for all plaintiff-appellants. With her\non the brief were Jeffrey S. Grimson, Jill A. Cramer, and Sarah M. Wyss, for Fine Furniture (Shanghai) Limited, et al.\nFrancis J. Sailer, Mark E. Pardo and Andrew T. Schutz, Grunfeld Desiderio Lebowitz Silverman & Klestadt, LLP, of\nWashington, DC, for Baroque Timber Industries (Zhongshan) Co., Ltd., et al; Gregory S. Menegaz, DeKieffer & Hogan,\nof Washington, DC, for Changzhou Hawd Flooring Co., Ltd., et al.; Jeffrey S. Neeley and Stephen W. Brophy, Barnes,\nRichardson, & Colburn, LLP, of Washington, DC, for Dalian Kemian Wood Industry Co., Ltd., et al. Of counsel were\nJeffrey Kevin Horgan, DeKieffer & Horgan, of Washington, DC, and Kavita Mohan, Grunfeld, Desiderio, Lebowitz,\nSilverman & Klestadt, LLP, of Washington, DC.\n\nAlexander V. Sverdlov, Trial Attorney, Commercial Litigation Branch, Civil Division, United States Department of\nJustice, of Washington, DC, argued for defendant-appellee. With him on the brief were Stuart F. Delery, Acting Assistant\nAttorney General, and Jeanne E. Davidson, Director. Of counsel was Scott D. McBride, Senior Attorney, Office of the\nChief Counsel for Import Administration, United States Department of Commerce, of Washington, DC. Of counsel\nwas Jonathan M. Zielinski, of Washington, DC.\n\nBefore NEWMAN, PLAGER, and CHEN, Circuit Judges.\n\n']"
InfoHold Inc v Applied Media Technologies Corp,"['Info-Hold, Inc. v. Applied Media Technologies Corp., 783 F.3d 1262 (2015)']",[],"[':] The Court of Appeals, Reyna, Circuit Judge, held that the term “transmit” was not limited to server-initiated\ntransmissions.\n\nReversed and remanded.\n\n']","['\n\n*1263  Daniel Joseph Wood, Info–Hold, Inc., Cincinnati, OH, James L. Kwak, Standley Law Group LLP, Dublin,\nOH, argued for plaintiff-appellant.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cInfo-Hold, Inc. v. Applied Media Technologies Corp., 783 F.3d 1262 (2015)\n114 U.S.P.Q.2d 1563\n\nRaymond R. Ferrera, Adams & Reese LLP, Houston, TX, argued for defendant-appellee. Also represented by Melissa\nStok Rizzo, Donald A. Mihokovich, Tampa, FL.\n\nBefore REYNA, WALLACH, and TARANTO, Circuit Judges.\n\n']"
Celgard LLC v SK Innovation Co Ltd,"['Celgard, LLC v. SK Innovation Co., Ltd., 792 F.3d 1373 (2015)']","[' Reyna, Circuit']","['s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] patentee was only required to make a prima facie showing of personal jurisdiction;\n\n[2] patentee failed to establish prima facie that non-resident competitor purposefully directed its activities to forum state;\n\n[3] patentee failed to establish prima facie that two automobile dealers in the forum state operated as either the agents\nor alter egos of competitor; and\n\n[4] patentee failed to establish prima facie that competitor was aware that its accused products were marketed in forum\nstate.\n\nAffirmed.\n\n']","['\n\n*1375  Martin Richard Lueck, Robins, Kaplan, Miller & Ciresi, LLP, Minneapolis, MN, argued for plaintiff-appellant.\nAlso represented by Andrew Douglas Hedden, Jamie R. Kurtz; Bryan J. Vogel, New York, N.Y.\n\nJ. Michael Jakes, Finnegan, Henderson, Farabow, Garrett & Dunner, LLP, Washington, DC, argued for defendant-\nappellee. Also represented by Charles Thomas Collins–Chase, Hala S. Mourad; Cortney Scott Alexander, Atlanta, GA;\nCharles Hyuk Suh, Reston, VA.\n\nBefore NEWMAN, REYNA, and WALLACH, Circuit Judges.\n\n']"
Riddell Inc v US,"['Riddell, Inc. v. U.S., 754 F.3d 1375 (2014)']","[' Taranto, Circuit']","[""s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] importer's football pants, jerseys, and girdle shells were articles of apparel, and not football equipment; but\n\n[2] football girdles should have been classified under subheading for other garments, knitted or crocheted, rather than\nunder subheading for brassieres, girdles, corsets, braces, suspenders, garters, and similar articles.\n\nAffirmed in part and reversed in part.\n\n""]","['\n\n*1376  Daniel J. Gluck, Simon Gluck & Kane LLP, of New York, N.Y., argued for plaintiff-appellant.  *1377  With\nhim on the brief were Christopher M. Kane and Mariana Del Rio Kostenwein.\n\nMarcella Powell, Trial Attorney, Commercial Litigation Branch, Civil Division, United States Department of Justice, of\nNew York, N.Y., argued for defendant-appellee. With her on the brief were Stuart F. Delery, Assistant Attorney General,\nJeanne E. Davidson, Director, of Washington, DC; and Amy M. Rubin, Acting Assistant Director, International Trade\nField Office, of New York NY. Of counsel on the brief was Michael W. Heydrich, Office of the Assistant Chief Counsel,\nInternational Trade Litigation, United States Customs and Border Protection, of New York, N.Y.\n\nBefore NEWMAN, LOURIE, and TARANTO, Circuit Judges.\n\n']"
Papierfabrik August Koehler SE v United States,"['Papierfabrik August Koehler SE v. United States, 843 F.3d 1373 (2016)']","[' Taranto, Circuit']","[""s: The Court of Appeals, Taranto, Circuit Judge. held that:\n\n[1] substantial evidence supported Department's decision to use adverse facts available (AFA) to determine importer's\ndumping margin;\n\n[2] Department properly adopted 75.36 percent adverse inference dumping margin for importer;\n\n[3]  Department  did  not  violate  statutory  requirement  that  it  consider  information  submitted  by  importer  that  was\nnecessary to determination;\n\n[4] Department did not abuse its discretion by refusing to accept submission of importer of previously unreported home\nmarket sales data.\n\nAffirmed.\n\n""]","['\n\nJOHN F. WOOD, Hughes Hubbard & Reed LLP, Washington, DC, argued for plaintiff-appellant. Also represented\nby FLORA AMANDA DEBUSK, LYNN KAMARCK, MATTHEW R. NICELY, ERIC S. PARNES, DANIEL\nMARTIN WITKOWSKI.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n3\n\n\x0cPapierfabrik August Koehler SE v. United States, 843 F.3d 1373 (2016)\n38 ITRD 1624\n\nJOSHUA  E.  KURLAND,  Commercial  Litigation  Branch,  Civil  Division,  United  States  Department  of  Justice,\nWashington, DC, argued for defendant-appellee United States. Also represented by BENJAMIN C. MIZER, JEANNE\nE.  DAVIDSON,  REGINALD  T.  BLADES,  JR.;  JESSICA  M.  LINK,  Office  of  the  Chief  Counsel  for  Trade\nEnforcement & Compliance, United States Department of Commerce, Washington, DC.\n\nDANIEL SCHNEIDERMAN, King & Spalding LLP, Washington, DC, argued for defendant-appellee Appvion, Inc.\nAlso represented by GILBERT B. KAPLAN, STEPHEN A. JONES.\n\nBefore Taranto, Chen, and Stoll, Circuit Judges.\n\n']"
Alfred E Mann Foundation for Scientific Research v Cochlear Corporation,"['Alfred E. Mann Foundation for Scientific Research v...., 841 F.3d 1334 (2016)']","[' Hughes, Circuit']","[""s: The Court of Appeals, Hughes, Circuit Judge, held that:\n\n[1] claim for a method of testing an implantable tissue stimulating system did not require that an infringing system display\nthe voltage between two electrodes;\n\n[2] substantial evidence supported determination that accused system infringed upon claim for a method of testing an\nimplantable tissue stimulating system;\n\n[3] patent claims were invalid as indefinite;\n\n[4] claim sufficiently disclosed an algorithm for achieving claimed function of processing the status-indicating signals to\nderive information therefrom regarding the operation of the implanted stimulator and its plurality of tissue stimulating\nelectrodes;\n\n[5] remand was required for redetermination of willfulness of infringement under preponderance of evidence standard;\nand\n\n[6] Court of Appeals lacked jurisdiction to consider claim that district court abused its discretion in granting competitor's\nmotion to vacate jury's damages award and order new trial on damages.\n\nAffirmed in part, reversed in part, vacated in part, and remanded.\n\nNewman, Circuit Judge, filed opinion concurring in part and dissenting in part.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cAlfred E. Mann Foundation for Scientific Research v...., 841 F.3d 1334 (2016)\n96 Fed.R.Serv.3d 1, 123 U.S.P.Q.2d 1669\n\n""]","['\n\nTHOMAS M. PETERSON, Morgan, Lewis & Bockius LLP, San Francisco, CA, argued for plaintiff-cross-appellant\nAlfred  E.  Mann  Foundation  for  Scientific  Research.  Also  represented  by  MICHAEL  JOHN  LYONS,  EHSUN\nFORGHANY,  JASON  EVAN  GETTLEMAN,  COREY  RAY  HOUMAND,  JACOB  JOSEPH  ORION  MINNE,\nLINDSEY M. SHINN, Palo Alto, CA; ESTHER K. RO, DANIEL GRUNFELD, Los Angeles, CA.\n\nDONALD MANWELL FALK, Mayer Brown, LLP, Palo Alto, CA, for plaintiff-cross-appellant Advanced Bionics,\nLLC. Also represented by PAUL WHITFIELD HUGHES, Washington, DC.\n\nJ.  MICHAEL  JAKES,  Finnegan,  Henderson,  Farabow,  Garrett  &  Dunner,  LLP,  Washington,  DC,  argued  for\ndefendants-appellants. Also represented by DAVID MROZ; BRUCE G. CHAPMAN, Sheppard, Mullin, Richter &\nHampton LLP, Los Angeles, CA.\n\nBefore Newman, Chen, and Hughes, Circuit Judges.\n\n']"
Leader Technologies Inc v Facebook Inc,"['Leader Technologies, Inc. v. Facebook, Inc., 678 F.3d 1300 (2012)']","[' Lourie, Circuit']","[""s: The Court of Appeals, Lourie, Circuit Judge, held that:\n\n[1] legally sufficient evidence supported jury's determination that patent was invalid based on on sale bar and public use\nbar, and\n\n[2] district court did not abuse its discretion in denying patentee's motion for new trial.\n\nAffirmed.\n\n""]","['\n\n*1301  Daryl L. Joseffer, King & Spalding, LLP, of Washington, DC, argued for plaintiff-appellant. With him on the\nbrief was Adam Conrad. Of counsel on the brief were Paul J. Andre and Lisa Kobialka, Kramer Levin Naftalis &\nFrankel, LLP, of Menlo Park, CA.\n\nThomas G. Hungar, Gibson, Dunn & Crutcher, LLP, of Washington, DC, argued for defendant-appellee. With him\non the brief were William G. Jenks and Michael F. Murray. Of counsel on the brief were Heidi L. Keefe and Mark R.\nWeinstein, Cooley, LLP, of Palo Alto, CA, and Michael G. Rhodes, of San Francisco, CA.\n\nBefore LOURIE, MOORE, and WALLACH, Circuit Judges.\n\n']"
Earnhardt v Kerry Earnhardt Inc,"['Earnhardt v. Kerry Earnhardt, Inc., 864 F.3d 1374 (2017)']",[],"[':] The Court of Appeals, Chen, Circuit Judge, held that TTAB did not make clear the basis of its finding that\nmark was not primarily merely surname that could not be registered under Lanham Act.\n\nVacated and remanded.\n\n']","['\n\nULY  SAMUEL  GUNN,  Alston  &  Bird  LLP,  Atlanta,  GA,  argued  for  appellant.  Also  represented  by  LARRY\nCURRELL JONES, Charlotte, NC.\n\nDAVID  BLAINE  SANDERS,  Robinson  Bradshaw  &  Hinson,  P.A.,  Charlotte,  NC,  argued  for  appellee.  Also\nrepresented by CARY BAXTER DAVIS, MATTHEW FELTON TILLEY.\n\nBefore Wallach, Chen and Hughes, Circuit Judges.\n\n']"
Dependable Packaging Solutions Inc v US,"['Dependable Packaging Solutions, Inc. v. U.S., 757 F.3d 1374 (2014)']",[],"[':] The Court of Appeals, Wallach, Circuit Judge, held that proper tariff classification for the bud vases was\nunder provision for “[g]lassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes.”\n\nAffirmed.\n\n']","['\n\n*1375  Peter S. Herrick, Peter S. Herrick, P.A., of Miami, FL, argued for plaintiff-appellant.\n\nEdward F. Kenny, Trial Attorney, International Trade Field Office, Commercial Litigation Branch, Civil Division,\nUnited States Department of Justice, of New York, NY, argued for defendant-appellee. With him on the brief were Stuart\nF. Delery, Assistant Attorney General, Jeanne E. Davidson, Director, and Amy M. Rubin, Acting Assistant Director,\nInternational Trade Field Office. Of counsel on the brief was Sheryl A. French, Office of Assistant Chief Counsel, United\nStates Customs and Border Protection, of New York, NY.\n\nBefore WALLACH, MAYER, and CHEN, Circuit Judges.\n\n']"
Avid Technology Inc v Harmonic Inc,"['Avid Technology, Inc. v. Harmonic, Inc., 812 F.3d 1040 (2016)']","[' Taranto, Circuit']","['s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] patentee did not clearly and unmistakably disclaim central controllers that provided storage-unit-location information\nfor retrieving segments;\n\n[2] “independent storage units” claim element could not be retried on remand; and\n\n[3] patentee was not entitled to judgment of infringement as matter of law that competitor infringed “in files” element.\n\nVacated and remanded.\n\n']","['\n\n*1042  Gregory A. Castanias, Jones Day, Washington, DC, argued for plaintiff-appellant. Also represented by David\nB. Cochran, Joseph M. Sauer, Cleveland, OH; Joshua R. Nightingale, Pittsburgh, PA.\n\nBoris Feldman, Wilson, Sonsini, Goodrich & Rosati, PC, Palo Alto, CA, argued for defendant-appellee. Also represented\nby James C. Yoon; Robin L. Brewer, San Francisco, CA; Gideon A. Schor, New York, NY.\n\nBefore REYNA, TARANTO, and STOLL, Circuit Judges.\n\n']"
Ergo Licensing LLC v CareFusion  Inc,"['Ergo Licensing, LLC v. CareFusion 303, Inc., 673 F.3d 1361 (2012)']",[],"[':] The Court of Appeals, Moore, Circuit Judge, held that means-plus-function claim was indefinite.\n\nAffirmed.\n\nNewman, Circuit Judge, filed a dissenting opinion.\n\n']","['\n\n*1362  James G. Goggin, Verrill Dana, LLP, of Portland, ME, argued for plaintiffs-appellants.\n\nStanley J. Panikowski, DLA Piper LLP (US), of San Diego, CA, argued for defendant-appellee. With him on the brief\nwas Kathryn Riley Grasso.\n\nBefore NEWMAN, LINN, and MOORE, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cErgo Licensing, LLC v. CareFusion 303, Inc., 673 F.3d 1361 (2012)\n102 U.S.P.Q.2d 1122\n\n']"
Medtronic Inc v Robert Bosch Healthcare Systems Inc,"['Medtronic, Inc. v. Robert Bosch Healthcare Systems, Inc., 839 F.3d 1382 (2016)']",[],"["":] The Court of Appeals, Dyk, Circuit Judge, held that PTAB's decision on request to reconsider decision to\ninstitute inter partes review proceeding was nonappealable decision.\n\nPetition for rehearing denied.\n\n""]",[]
Fenner Investments Ltd v Cellco Partnership,"['Fenner Investments, Ltd. v. Cellco Partnership, 778 F.3d 1320 (2015)']",[],"[':] The Court of Appeals, Newman, Circuit Judge, held that district court properly construed term “personal\nidentification number” as being associated with individual, not device.\n\nAffirmed.\n\n']","['\n\n*1321  Jonathan S. Franklin, Norton Rose Fulbright U.S. LLP, Washington, DC, argued for plaintiff-appellant. Also\nrepresented by Mark Emery.\n\nGeoffrey P. Eaton, Winston & Strawn LLP, Washington, DC, argued for defendant-appellee. Also represented by Kevin\nPaul Anderson, Karin A. Hessler, Wiley Rein, LLP, Washington, DC; Caren Khoo, Verizon Corporate Services Group,\nBasking Ridge, NJ.\n\nBefore NEWMAN, SCHALL, and HUGHES, Circuit Judges.\n\n']"
Idemitsu Kosan Co Ltd v SFC Co Ltd,"['Idemitsu Kosan Co., Ltd. v. SFC Co. Ltd., 870 F.3d 1376 (2017)']",[],"["":] The Court of Appeals, O'Malley, Circuit Judge, held that finding that patent was unpatentable as obvious\nwas supported by substantial evidence.\n\nAffirmed.\n\n""]","[""\n\nJACOB ANDREW DOUGHTY, Oblon, McClelland, Maier & Neustadt, LLP, Alexandria,  *1377  VA, argued for\nappellant. Also represented by RICHARD KELLY, YUKI ONOE.\n\nBLAS P. ARROYO, Alston & Bird LLP, Charlotte, NC, argued for appellee. Also represented by ROBERT FLYNT\nSTREAN.\n\nBefore Prost, Chief Judge, O'Malley, and Chen, Circuit Judges.\n\n""]"
Changzhou Hawd Flooring Co Ltd v United States,"['Changzhou Hawd Flooring Co., Ltd. v. United States, 848 F.3d 1006 (2017)']",[],"["":] The Court of Appeals, Taranto, Circuit Judge, held that substantial evidence did not support Commerce's\ndeparture from expected method of calculating all-others separate rate.\n\nVacated and remanded with instructions to Court of International Trade.\n\n""]","['\n\n*1008  JEFFREY S. GRIMSON, Mowry & Grimson, PLLC, Washington, DC, argued for all plaintiffs-appellants.\nPlaintiff-appellant  Fine  Furniture  (Shanghai)  Limited  also  represented  by  KRISTIN  HEIM  MOWRY,  JILL  A.\nCRAMER, SARAH M. WYSS.\n\nGREGORY S. MENEGAZ, DeKieffer & Horgan, PLLC, Washington, DC, for plaintiffs-appellants Changzhou Hawd\nFlooring Co., Ltd., Dunhua City Jisen Wood Industry Co., Ltd., Dunhua City Dexin Wood Industry Co., Ltd., Dalian\nHuilong Wooden Products Co., Ltd., Kunshan Yingyi–Nature Wood Industry Co., Ltd., Karly Wood Product Limited.\nAlso represented by JAMES KEVIN HORGAN, ALEXANDRA H. SALZMAN.\n\nARTHUR  K.  PURCELL,  Sandler  Travis  &  Rosenberg,  P.A.,  New  York,  NY,  for  plaintiff-appellant  Lumber\nLiquidators  Services,  LLC.  Also  represented  by  MARK  LUDWIKOWSKI,  KRISTEN  SMITH,  Washington,  DC;\nMICHELLE L. MEJIA, Chicago, IL.\n\nHAROLD  DEEN  KAPLAN,  Hogan  Lovells  US  LLP,  Washington,  DC,  for  plaintiff-appellant  Armstrong  Wood\nProducts (Kunshan) Co., Ltd. Also represented by CRAIG ANDERSON LEWIS.\n\nTARA K. HOGAN, Commercial Litigation Branch, Civil Division, United States Department of Justice, Washington,\nDC,  argued  for  defendant-appellee  United  States.  Also  represented  by  BENJAMIN  C.  MIZER,  JEANNE  E.\nDAVIDSON,  CLAUDIA  BURKE;  SHELBY  ANDERSON,  Office  of  Chief  Counsel  for  Trade  Enforcement  and\nCompliance, United States Department of Commerce, Washington, DC.\n\nJEFFREY STEVEN LEVIN, Levin Trade Law PC, Bethesda, MD, for defendant-appellee The Coalition for American\nHardwood Parity.\n\nBefore Lourie, Taranto, and Chen, Circuit Judges.\n\n']"
Media Rights Technologies Inc v Capital One Financial Corp,"['Media Rights Technologies, Inc. v. Capital One Financial Corp., 800 F.3d 1366 (2015)']","["" O'Malley, Circuit""]","[""s: The Court of Appeals, O'Malley, Circuit Judge, held that:\n\n[1] “compliance mechanism” limitation in patent was means-plus-function claims limitation, and\n\n[2] specification failed to disclose sufficient structure to perform functions associated with “compliance mechanism”\nlimitation, and thus claims in patent were invalid as indefinite.\n\nAffirmed.\n\n""]","[""\n\n*1368  Byron Leroy Pickard, Sterne Kessler Goldstein & Fox, PLLC, Washington, DC, argued for plaintiff-appellant.\nAlso represented by Robert Greene Sterne, Jonathan M. Strang, Jon Wright; Daniel Luke Geyser, McKool Smith, P.C.,\nDallas, TX; Courtland L. Reichman, Redwood City, CA.\n\nRobert A. Angle, Troutman Sanders LLP, Richmond, VA, argued for defendants-appellees. Also represented by Dabney\nJefferson Carr, IV, George A. Somerville, Nicholas Richard Klaiber; Douglas Salyers, Atlanta, GA.\n\nBefore O'MALLEY, PLAGER, and TARANTO, Circuit Judges.\n\n""]"
Trustees of Columbia University in City of New York v Symantec Corp,"['Trustees of Columbia University in City of New York v...., 811 F.3d 1359 (2016)']","[' Dyk, Circuit']","['s: The Court of Appeals, Dyk, Circuit Judge, held that:\n\n[1] term “byte sequence feature” meant a feature that was a representation of machine code instructions of the executable;\n\n[2] term “probabilistic model of normal computer system usage” meant a model of typical attack-free computer system\nusage that employs probability, with the model generated with only attack-free data; but\n\n[3] limiting term “anomalous” to mean that model had to be built only using attack-free data was improper.\n\nAffirmed in part and reversed and remanded in part.\n\n']","['\n\n*1361  David Isaac Gindler, Irell & Manella LLP, Los Angeles, CA, argued for plaintiff-appellant. Also represented\nby Richard Birnholz, Joseph M. Lipner, Jason Sheasby, Gavin Snyder; Aaron Martin Panner, Law Office of Aaron M.\nPanner, PLLC, Washington, DC.\n\nDavid  A.  Nelson,  Quinn  Emanuel  Urquhart  &  Sullivan,  LLP,  Chicago,  IL,  argued  for  defendant-appellee.  Also\nrepresented by Nathan Hamstra; Richard Wolter Erwine, Alexander Rudis, New York, NY; Adam Conrad, King &\nSpalding LLP, Charlotte, NC; Daryl Joseffer, Washington, DC.\n\nBefore PROST, Chief Judge, DYK, and HUGHES, Circuit Judges.\n\n']"
Cummins Inc v TAS Distributing Co Inc,"['Cummins, Inc. v. TAS Distributing Co., Inc., 700 F.3d 1329 (2012)']","[' Reyna, Circuit']","[""s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] licensee could have asserted patent-based defenses in response to licensor's prior declaratory judgment action alleging\nbreach of license agreement;\n\n[2] licensor's earlier action against licensee had been based on same set of transactional facts as asserted in licensee's later\naction alleging patent invalidity, unenforceability, and misuse;\n\n[3] granting relief to licensee in its subsequent action would have nullified prior action, and thus res judicata applied; and\n\n[4] misrepresentation exception to res judicata under Illinois law did not apply.\n\nAffirmed.\n\n""]","['\n\n*1331  Jeanne M. Gills, Foley & Lardner, LLP, of Chicago, IL, argued for the plaintiff-appellant. With her on the brief\nwere Jonathan R. Spivey and Aaron J. Weinzierl.\n\nCraig L. Unrath, Heyl, Royster, Voelker & Allen, of Peoria, IL, argued for the defendant-appellee. With him on the\nbrief were Karen L. Kendall and Timothy L. Bertschy. Of counsel was Jacob D. Koering, Freeborn & Peters, LLP, of\nChicago, IL.\n\nBefore NEWMAN, BRYSON, and REYNA, Circuit Judges.\n\n']"
WesternGeco LLC v ION Geophysical Corporation,"['WesternGeco L.L.C. v. ION Geophysical Corporation, 837 F.3d 1358 (2016)']",[],"['s: On remand, the Court of Appeals, Dyk, Circuit Judge, held that:\n\n[1] preponderance of the evidence standard, rather than clear and convincing evidence standard, applied when evaluating\nsufficiency of evidence of willful infringement, and\n\n[2] determination of enhanced damages for patent infringement is left to the discretion of the district court.\n\nAffirmed in part, reversed in part, vacated in part, and remanded.\n\nWallach, Circuit Judge, filed opinion dissenting in part.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cWesternGeco L.L.C. v. ION Geophysical Corporation, 837 F.3d 1358 (2016)\n120 U.S.P.Q.2d 1177\n\n']","[""\n\nGREGG  F.  LOCASCIO,  Kirkland  &  Ellis  LLP,  Washington,  DC,  for  WesternGeco  L.L.C.  Also  represented  by\nWILLIAM H. BURGESS, JOHN C. O'QUINN; TIMOTHY GILMAN, LESLIE M. SCHMIDT, New York, NY;\nLEE LANDA KAPLAN, Smyser, Kaplan & Veselka, LLP, Houston, TX.\n\n*1360   DAVID  J.  HEALEY,  Fish  &  Richardson,  PC,  Houston,  TX,  for  ION  Geophysical  Corporation.  Also\nrepresented by BAILEY KATHLEEN HARRIS, JACKOB BEN-EZRA, BRIAN GREGORY STRAND; FRANK\nPORCELLI, KEVIN SU, Boston, MA; OLGA I. MAY, FRANCIS J. ALBERT, San Diego, CA; JUSTIN BARNES,\nTroutman Sanders LLP, San Diego, CA.\n\nBefore Dyk, Wallach, and Hughes, Circuit Judges.\n\n""]"
Stryker Corp v Zimmer Inc,"['Stryker Corp. v. Zimmer, Inc., 782 F.3d 649 (2014)']","[' Prost, Chief']","[""s: The Court of Appeals, Prost, Chief Judge, held that:\n\n[1] issue of whether competitor's accused device infringed the patents was for jury;\n\n[2] issue of whether patent was anticipated by prior art was for jury;\n\n[3] issue of whether patent's claims were obvious was for jury; and\n\n[4] patentees were not entitled to enhanced damages for willful infringement.\n\nAffirmed in part, reversed in part, vacated in part, and remanded.\n\nOpinion, 774 F.3d 1349, revised and superseded.\n\n""]",[]
Revision Military Inc v Balboa Mfg Co,"['Revision Military, Inc. v. Balboa Mfg. Co., 700 F.3d 524 (2012)']",[],"["":] The Court of Appeals, Newman, Circuit Judge, held that patentee's motion for preliminary injunction was\ngoverned by Federal Circuit law.\n\nVacated and remanded.\n\n""]","['\n\n*524  Andrew D. Manitsky, Gravel and Shea, of Burlington, VT, argued for plaintiffs-appellants.\n\nSteele N. Gillaspey, Gillaspey & Gillaspey, of San Diego, CA, argued for defendant-appellee.\n\nBefore NEWMAN, CLEVENGER, and LINN, Circuit Judges.\n\n']"
Shaw Industries Group Inc v Automated Creel Systems Inc,"['Shaw Industries Group, Inc. v. Automated Creel Systems, Inc., 817 F.3d 1293 (2016)']","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1] Court lacked jurisdiction to review Board's decision not to institute IPR on one ground;\n\n[2] Board decision not to institute IPR based on anticipation by prior art would have no estoppel effect on challenger; and\n\n[3] Court lacked jurisdiction to review decision that IPR petition was not time barred.\n\nAffirmed in part, vacated in part, and remanded.\n\nReyna, Circuit Judge, concurred specially and filed opinion.\n\n""]","['\n\n*1295  Thad Charles Kodish, Fish & Richardson, P.C., Atlanta, GA, argued for appellant. Also represented by Erin\nAlper; John A. Dragseth, Minneapolis, MN.\n\nScott D. Smiley, The Concept Law Group, P.A., Fort Lauderdale, FL, argued for cross-appellant. Also represented by\nMark C. Johnson.\n\nMonica Barnes Lateef, Office of the Solicitor, United States Patent and Trademark Office, Alexandria, VA, argued for\nintervenor Michelle K. Lee. Also represented by Nathan K. Kelley, Scott Weidenfeller, William Lamarca.\n\nBefore MOORE, REYNA, and WALLACH, Circuit Judges.\n\n']"
Vasudevan Software Inc v MicroStrategy Inc,"['Vasudevan Software, Inc. v. MicroStrategy, Inc., 782 F.3d 671 (2015)']","[' Linn, Circuit']","['s: The Court of Appeals, Linn, Circuit Judge, held that:\n\n[1] patentee waived appellate review of argument that terms should be construed differently;\n\n[2] fact issue precluded summary judgment on claim that patent was invalid for lack of written description support; and\n\n[3] fact issues precluded summary judgment on claim that patents were invalid for lack of enablement.\n\nAffirmed in part, reversed in part, and remanded.\n\n']","[""\n\n*674  Leslie V. Payne, Heim, Payne & Chorush, LLP, Houston, TX, argued for plaintiff-appellant in 2014–1094 and\n2014–1096. Also represented by Eric J. Enger, Michael F. Heim; Brooke Ashley May Taylor, Jordan Connors, Susman\nGodfrey L.L.P., Seattle, WA.\n\nSean  S.  Pak,  Quinn  Emanuel  Urquhart  &  Sullivan,  LLP,  San  Francisco,  CA,  argued  for  defendant-appellee\nMicroStrategy, Inc. in 2014–1094. Also represented by Kevin Alexander Smith, Jennifer A. Kash.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n4\n\n\x0cVasudevan Software, Inc. v. MicroStrategy, Inc., 782 F.3d 671 (2015)\n114 U.S.P.Q.2d 1349\n\nRobert Alan Appleby, Kirkland & Ellis LLP, New York, N.Y., argued for defendant-appellee TIBCO Software, Inc. in\n2014–1096. Also represented by Joseph Allen Loy; John C. O'Quinn, Washington, DC.\n\nBefore CHEN, LINN, and HUGHES, Circuit Judges.\n\n""]"
Hutchison Quality Furniture Inc v United States,"['Hutchison Quality Furniture, Inc. v. United States, 827 F.3d 1355 (2016)']","[' Wallach, Circuit']","[""s: The Court of Appeals, Wallach, Circuit Judge, held that:\n\n[1] importer's complaint involved a protestable decision, and\n\n[2] statutory provision granting exclusive jurisdiction over challenges to denial of a protest was not an inadequate remedy.\n\nAffirmed.\n\n""]","['\n\nJOHN MICHAEL PETERSON, Neville Peterson LLP, New York, NY, argued for plaintiff-appellant. Also represented\nby RUSSELL ANDREW SEMMEL.\n\nSTEPHEN  CARL  TOSINI,  Commercial  Litigation  Branch,  Civil  Division,  United  States  Department  of  Justice,\nWashington,  DC,  argued  for  defendant-appellee.  Also  represented  by  BENJAMIN  C.  MIZER,  JEANNE  E.\nDAVIDSON, PATRICIA M. MCCARTHY.\n\nBefore Reyna, Clevenger, and Wallach, Circuit Judges.\n\n']"
